,TA_main_page,wiki_link
0,https://www.tripadvisor.com/Tourism-g187791-Rome_Lazio-Vacations.html,https://en.wikipedia.org/wiki/Rome
1,https://www.tripadvisor.com/Tourism-g187497-Barcelona_Catalonia-Vacations.html,https://en.wikipedia.org/wiki/Barcelona
2,https://www.tripadvisor.com/Tourism-g293974-Istanbul-Vacations.html,https://en.wikipedia.org/wiki/Istanbul
3,https://www.tripadvisor.com/Tourism-g187849-Milan_Lombardy-Vacations.html,https://en.wikipedia.org/wiki/Milan
4,https://www.tripadvisor.com/Tourism-g187895-Florence_Tuscany-Vacations.html,https://en.wikipedia.org/wiki/Florence
5,https://www.tripadvisor.com/Tourism-g187514-Madrid-Vacations.html,https://en.wikipedia.org/wiki/Madrid
6,https://www.tripadvisor.com/Tourism-g189158-Lisbon_Lisbon_District_Central_Portugal-Vacations.html,https://en.wikipedia.org/wiki/Lisbon
7,https://www.tripadvisor.com/Tourism-g187870-Venice_Veneto-Vacations.html,https://en.wikipedia.org/wiki/Venice
8,https://www.tripadvisor.com/Tourism-g189400-Athens_Attica-Vacations.html,https://en.wikipedia.org/wiki/Athens
9,https://www.tripadvisor.com/Tourism-g187525-Benidorm_Costa_Blanca_Province_of_Alicante_Valencian_Country-Vacations.html,https://en.wikipedia.org/wiki/Benidorm
10,https://www.tripadvisor.com/Tourism-g147293-Punta_Cana_La_Altagracia_Province_Dominican_Republic-Vacations.html,https://en.wikipedia.org/wiki/Punta_Cana
11,https://www.tripadvisor.com/Tourism-g147416-Nassau_New_Providence_Island_Bahamas-Vacations.html,"https://en.wikipedia.org/wiki/Nassau,_Bahamas"
12,https://www.tripadvisor.com/Tourism-g147311-Montego_Bay_Saint_James_Parish_Jamaica-Vacations.html,https://en.wikipedia.org/wiki/Montego_Bay
13,https://www.tripadvisor.com/Tourism-g147249-Palm_Eagle_Beach_Aruba-Vacations.html,"https://en.wikipedia.org/wiki/Palm_Beach,_Aruba"
14,https://www.tripadvisor.com/Tourism-g1448458-Hanover_Parish_Jamaica-Vacations.html,"https://en.wikipedia.org/wiki/Lucea,_Jamaica"
15,https://www.tripadvisor.com/Tourism-g147262-Barbados-Vacations.html,https://en.wikipedia.org/wiki/Barbados
16,https://www.tripadvisor.com/Tourism-g147342-St_Lucia-Vacations.html,https://en.wikipedia.org/wiki/Saint_Lucia
17,https://www.tripadvisor.com/Tourism-g147365-Grand_Cayman_Cayman_Islands-Vacations.html,https://en.wikipedia.org/wiki/Grand_Cayman
